file,file_size,transfer_time(ns),start_time,end_time
test254,186368,11771300,2023-08-05 16:21:29.843,2023-08-05 16:21:29.856
test255,187392,12275700,2023-08-05 16:21:29.869,2023-08-05 16:21:29.882
test256,189440,12049700,2023-08-05 16:21:29.884,2023-08-05 16:21:29.897
test257,190464,14025600,2023-08-05 16:21:29.898,2023-08-05 16:21:29.912
test258,192512,12251100,2023-08-05 16:21:29.914,2023-08-05 16:21:29.927
test259,198656,13042900,2023-08-05 16:21:29.928,2023-08-05 16:21:29.942
test260,203776,12625100,2023-08-05 16:21:29.944,2023-08-05 16:21:29.957
test261,203776,13109600,2023-08-05 16:21:29.958,2023-08-05 16:21:29.973
test262,204800,12599200,2023-08-05 16:21:29.974,2023-08-05 16:21:29.989
test263,205824,13494600,2023-08-05 16:21:29.991,2023-08-05 16:21:30.005
test264,207872,12496700,2023-08-05 16:21:30.007,2023-08-05 16:21:30.020
test265,209920,13434600,2023-08-05 16:21:30.022,2023-08-05 16:21:30.037
test266,209920,14133900,2023-08-05 16:21:30.038,2023-08-05 16:21:30.053
test267,209920,17947600,2023-08-05 16:21:30.054,2023-08-05 16:21:30.073
test268,210944,14686500,2023-08-05 16:21:30.074,2023-08-05 16:21:30.088
test269,211968,12484600,2023-08-05 16:21:30.088,2023-08-05 16:21:30.102
test270,212992,14915900,2023-08-05 16:21:30.103,2023-08-05 16:21:30.118
test271,212992,12965300,2023-08-05 16:21:30.119,2023-08-05 16:21:30.133
test272,214016,12781700,2023-08-05 16:21:30.135,2023-08-05 16:21:30.149
test273,214016,16769600,2023-08-05 16:21:30.150,2023-08-05 16:21:30.167
test274,217088,17023900,2023-08-05 16:21:30.168,2023-08-05 16:21:30.186
test275,224256,20406600,2023-08-05 16:21:30.189,2023-08-05 16:21:30.210
test276,225280,14931200,2023-08-05 16:21:30.209,2023-08-05 16:21:30.226
test277,228352,13140900,2023-08-05 16:21:30.227,2023-08-05 16:21:30.241
test278,231424,16282800,2023-08-05 16:21:30.243,2023-08-05 16:21:30.260
test279,233472,14877000,2023-08-05 16:21:30.262,2023-08-05 16:21:30.279
test280,234496,14872400,2023-08-05 16:21:30.280,2023-08-05 16:21:30.296
test281,235520,19555000,2023-08-05 16:21:30.297,2023-08-05 16:21:30.317
test282,236544,15385100,2023-08-05 16:21:30.320,2023-08-05 16:21:30.336
test283,236544,13900200,2023-08-05 16:21:30.338,2023-08-05 16:21:30.352
test284,238592,14653200,2023-08-05 16:21:30.354,2023-08-05 16:21:30.370
test285,238592,16703900,2023-08-05 16:21:30.371,2023-08-05 16:21:30.388
test286,239616,17767200,2023-08-05 16:21:30.390,2023-08-05 16:21:30.408
test287,245760,15283300,2023-08-05 16:21:30.410,2023-08-05 16:21:30.426
test288,245760,16904700,2023-08-05 16:21:30.427,2023-08-05 16:21:30.445
test289,245760,16609600,2023-08-05 16:21:30.446,2023-08-05 16:21:30.463
test290,248832,15467800,2023-08-05 16:21:30.465,2023-08-05 16:21:30.481
test291,250880,18802300,2023-08-05 16:21:30.484,2023-08-05 16:21:30.504
test292,250880,15964800,2023-08-05 16:21:30.505,2023-08-05 16:21:30.522
test293,250880,15770000,2023-08-05 16:21:30.523,2023-08-05 16:21:30.540
test294,252928,16575000,2023-08-05 16:21:30.541,2023-08-05 16:21:30.559
test295,253952,16789000,2023-08-05 16:21:30.562,2023-08-05 16:21:30.580
test296,254976,18390900,2023-08-05 16:21:30.581,2023-08-05 16:21:30.601
test297,254976,15458900,2023-08-05 16:21:30.602,2023-08-05 16:21:30.618
test298,256000,17676800,2023-08-05 16:21:30.621,2023-08-05 16:21:30.639
test299,257024,18022500,2023-08-05 16:21:30.639,2023-08-05 16:21:30.658
test300,258048,16176200,2023-08-05 16:21:30.659,2023-08-05 16:21:30.676
test301,268288,20095600,2023-08-05 16:21:30.677,2023-08-05 16:21:30.697
test302,277504,18626900,2023-08-05 16:21:30.697,2023-08-05 16:21:30.716
test303,279552,27434600,2023-08-05 16:21:30.718,2023-08-05 16:21:30.747
test304,290816,22160200,2023-08-05 16:21:30.746,2023-08-05 16:21:30.769
test305,293888,21938100,2023-08-05 16:21:30.770,2023-08-05 16:21:30.793
test306,293888,18745500,2023-08-05 16:21:30.792,2023-08-05 16:21:30.812
test307,309248,19220600,2023-08-05 16:21:30.813,2023-08-05 16:21:30.834
test308,316416,22572700,2023-08-05 16:21:30.837,2023-08-05 16:21:30.861
test309,317440,30734400,2023-08-05 16:21:30.871,2023-08-05 16:21:30.902
test310,323584,38509000,2023-08-05 16:21:30.908,2023-08-05 16:21:30.947
test311,334848,28775200,2023-08-05 16:21:30.949,2023-08-05 16:21:30.979
test312,339968,35902400,2023-08-05 16:21:30.980,2023-08-05 16:21:31.017
test313,344064,26579300,2023-08-05 16:21:31.020,2023-08-05 16:21:31.046
test314,365568,31610700,2023-08-05 16:21:31.048,2023-08-05 16:21:31.081
test315,374784,33937900,2023-08-05 16:21:31.081,2023-08-05 16:21:31.115
test316,385024,31422600,2023-08-05 16:21:31.117,2023-08-05 16:21:31.149
test317,396288,41968400,2023-08-05 16:21:31.149,2023-08-05 16:21:31.191
test318,397312,33035900,2023-08-05 16:21:31.192,2023-08-05 16:21:31.226
test319,400384,32327500,2023-08-05 16:21:31.226,2023-08-05 16:21:31.259
test320,403456,38451300,2023-08-05 16:21:31.260,2023-08-05 16:21:31.299
test321,412672,35139600,2023-08-05 16:21:31.300,2023-08-05 16:21:31.335
test322,435200,32382900,2023-08-05 16:21:31.336,2023-08-05 16:21:31.369
test323,447488,31178700,2023-08-05 16:21:31.370,2023-08-05 16:21:31.401
test324,452608,29032900,2023-08-05 16:21:31.401,2023-08-05 16:21:31.430
test325,456704,29278700,2023-08-05 16:21:31.431,2023-08-05 16:21:31.460
test326,456704,30155300,2023-08-05 16:21:31.461,2023-08-05 16:21:31.491
