file,file_size,transfer_time(ns),start_time,end_time,since_time
C:\Users\24201\Desktop\libp2p-test-fbc\libp2p-test\send\test300,258048,34813000,2023-08-05 16:40:34.102,2023-08-05 16:40:34.148,46743600
C:\Users\24201\Desktop\libp2p-test-fbc\libp2p-test\send\test301,268288,17643100,2023-08-05 16:40:34.148,2023-08-05 16:40:34.168,19426300
C:\Users\24201\Desktop\libp2p-test-fbc\libp2p-test\send\test302,277504,20828300,2023-08-05 16:40:34.168,2023-08-05 16:40:34.189,20828300
C:\Users\24201\Desktop\libp2p-test-fbc\libp2p-test\send\test303,279552,18264900,2023-08-05 16:40:34.190,2023-08-05 16:40:34.208,18264900
C:\Users\24201\Desktop\libp2p-test-fbc\libp2p-test\send\test304,290816,18704500,2023-08-05 16:40:34.208,2023-08-05 16:40:34.227,18704500
C:\Users\24201\Desktop\libp2p-test-fbc\libp2p-test\send\test305,293888,20445500,2023-08-05 16:40:34.228,2023-08-05 16:40:34.248,20445500
C:\Users\24201\Desktop\libp2p-test-fbc\libp2p-test\send\test306,293888,21184900,2023-08-05 16:40:34.249,2023-08-05 16:40:34.270,21347300
C:\Users\24201\Desktop\libp2p-test-fbc\libp2p-test\send\test307,309248,25117500,2023-08-05 16:40:34.271,2023-08-05 16:40:34.296,25117500
C:\Users\24201\Desktop\libp2p-test-fbc\libp2p-test\send\test308,316416,22266900,2023-08-05 16:40:34.296,2023-08-05 16:40:34.319,23286100
C:\Users\24201\Desktop\libp2p-test-fbc\libp2p-test\send\test309,317440,23093500,2023-08-05 16:40:34.319,2023-08-05 16:40:34.343,23693900
C:\Users\24201\Desktop\libp2p-test-fbc\libp2p-test\send\test310,323584,22029200,2023-08-05 16:40:34.343,2023-08-05 16:40:34.365,22537100
C:\Users\24201\Desktop\libp2p-test-fbc\libp2p-test\send\test311,334848,23485000,2023-08-05 16:40:34.366,2023-08-05 16:40:34.389,23485000
C:\Users\24201\Desktop\libp2p-test-fbc\libp2p-test\send\test312,339968,22037100,2023-08-05 16:40:34.389,2023-08-05 16:40:34.411,22037100
C:\Users\24201\Desktop\libp2p-test-fbc\libp2p-test\send\test313,344064,24041500,2023-08-05 16:40:34.411,2023-08-05 16:40:34.435,24041500
C:\Users\24201\Desktop\libp2p-test-fbc\libp2p-test\send\test314,365568,26012400,2023-08-05 16:40:34.435,2023-08-05 16:40:34.462,27010200
C:\Users\24201\Desktop\libp2p-test-fbc\libp2p-test\send\test315,374784,27199600,2023-08-05 16:40:34.462,2023-08-05 16:40:34.490,28199400
C:\Users\24201\Desktop\libp2p-test-fbc\libp2p-test\send\test316,385024,28083700,2023-08-05 16:40:34.491,2023-08-05 16:40:34.520,29080900
C:\Users\24201\Desktop\libp2p-test-fbc\libp2p-test\send\test317,396288,25787500,2023-08-05 16:40:34.521,2023-08-05 16:40:34.547,25787500
C:\Users\24201\Desktop\libp2p-test-fbc\libp2p-test\send\test318,397312,27414500,2023-08-05 16:40:34.547,2023-08-05 16:40:34.576,28411000
C:\Users\24201\Desktop\libp2p-test-fbc\libp2p-test\send\test319,400384,28909500,2023-08-05 16:40:34.576,2023-08-05 16:40:34.605,28909500
C:\Users\24201\Desktop\libp2p-test-fbc\libp2p-test\send\test320,403456,25235200,2023-08-05 16:40:34.605,2023-08-05 16:40:34.630,25235200
C:\Users\24201\Desktop\libp2p-test-fbc\libp2p-test\send\test321,412672,28617300,2023-08-05 16:40:34.630,2023-08-05 16:40:34.660,29614800
C:\Users\24201\Desktop\libp2p-test-fbc\libp2p-test\send\test322,435200,31968900,2023-08-05 16:40:34.660,2023-08-05 16:40:34.692,31968900
C:\Users\24201\Desktop\libp2p-test-fbc\libp2p-test\send\test323,447488,31036400,2023-08-05 16:40:34.692,2023-08-05 16:40:34.723,31036400
C:\Users\24201\Desktop\libp2p-test-fbc\libp2p-test\send\test324,452608,30981200,2023-08-05 16:40:34.723,2023-08-05 16:40:34.754,31487700
C:\Users\24201\Desktop\libp2p-test-fbc\libp2p-test\send\test325,456704,30187800,2023-08-05 16:40:34.755,2023-08-05 16:40:34.785,30187800
C:\Users\24201\Desktop\libp2p-test-fbc\libp2p-test\send\test326,456704,30280800,2023-08-05 16:40:34.785,2023-08-05 16:40:34.816,30280800
C:\Users\24201\Desktop\libp2p-test-fbc\libp2p-test\send\test327,463872,31540600,2023-08-05 16:40:34.816,2023-08-05 16:40:34.847,31540600
C:\Users\24201\Desktop\libp2p-test-fbc\libp2p-test\send\test328,472064,32506000,2023-08-05 16:40:34.847,2023-08-05 16:40:34.880,32506000
C:\Users\24201\Desktop\libp2p-test-fbc\libp2p-test\send\test329,478208,29773200,2023-08-05 16:40:34.880,2023-08-05 16:40:34.911,30771000
C:\Users\24201\Desktop\libp2p-test-fbc\libp2p-test\send\test330,492544,32919000,2023-08-05 16:40:34.911,2023-08-05 16:40:34.943,32919000
C:\Users\24201\Desktop\libp2p-test-fbc\libp2p-test\send\test331,505856,32376700,2023-08-05 16:40:34.944,2023-08-05 16:40:34.977,32897300
C:\Users\24201\Desktop\libp2p-test-fbc\libp2p-test\send\test332,512000,37002800,2023-08-05 16:40:34.978,2023-08-05 16:40:35.015,37002800
C:\Users\24201\Desktop\libp2p-test-fbc\libp2p-test\send\test333,522240,33093000,2023-08-05 16:40:35.016,2023-08-05 16:40:35.049,33093000
C:\Users\24201\Desktop\libp2p-test-fbc\libp2p-test\send\test334,541696,35084500,2023-08-05 16:40:35.049,2023-08-05 16:40:35.084,35084500
C:\Users\24201\Desktop\libp2p-test-fbc\libp2p-test\send\test335,542720,37455200,2023-08-05 16:40:35.085,2023-08-05 16:40:35.122,37455200
C:\Users\24201\Desktop\libp2p-test-fbc\libp2p-test\send\test336,545792,47228100,2023-08-05 16:40:35.122,2023-08-05 16:40:35.169,47228100
C:\Users\24201\Desktop\libp2p-test-fbc\libp2p-test\send\test337,553984,56476100,2023-08-05 16:40:35.170,2023-08-05 16:40:35.227,56476100
C:\Users\24201\Desktop\libp2p-test-fbc\libp2p-test\send\test338,562176,50794800,2023-08-05 16:40:35.228,2023-08-05 16:40:35.279,50794800
C:\Users\24201\Desktop\libp2p-test-fbc\libp2p-test\send\test339,563200,50355100,2023-08-05 16:40:35.280,2023-08-05 16:40:35.330,50355100
C:\Users\24201\Desktop\libp2p-test-fbc\libp2p-test\send\test340,565248,57643800,2023-08-05 16:40:35.331,2023-08-05 16:40:35.390,58641100
C:\Users\24201\Desktop\libp2p-test-fbc\libp2p-test\send\test341,568320,49898600,2023-08-05 16:40:35.390,2023-08-05 16:40:35.440,49898600
C:\Users\24201\Desktop\libp2p-test-fbc\libp2p-test\send\test342,592896,48372900,2023-08-05 16:40:35.441,2023-08-05 16:40:35.489,48880300
C:\Users\24201\Desktop\libp2p-test-fbc\libp2p-test\send\test343,598016,48052500,2023-08-05 16:40:35.489,2023-08-05 16:40:35.538,48653300
C:\Users\24201\Desktop\libp2p-test-fbc\libp2p-test\send\test344,603136,56080200,2023-08-05 16:40:35.539,2023-08-05 16:40:35.595,56080200
C:\Users\24201\Desktop\libp2p-test-fbc\libp2p-test\send\test345,605184,42473900,2023-08-05 16:40:35.597,2023-08-05 16:40:35.639,42622000
C:\Users\24201\Desktop\libp2p-test-fbc\libp2p-test\send\test346,608256,44417800,2023-08-05 16:40:35.641,2023-08-05 16:40:35.686,44417800
C:\Users\24201\Desktop\libp2p-test-fbc\libp2p-test\send\test347,612352,40879200,2023-08-05 16:40:35.687,2023-08-05 16:40:35.729,41877400
C:\Users\24201\Desktop\libp2p-test-fbc\libp2p-test\send\test348,621568,39262100,2023-08-05 16:40:35.729,2023-08-05 16:40:35.769,40259900
C:\Users\24201\Desktop\libp2p-test-fbc\libp2p-test\send\test349,634880,43032600,2023-08-05 16:40:35.770,2023-08-05 16:40:35.813,43032600
C:\Users\24201\Desktop\libp2p-test-fbc\libp2p-test\send\test350,641024,40974400,2023-08-05 16:40:35.814,2023-08-05 16:40:35.855,40974400
C:\Users\24201\Desktop\libp2p-test-fbc\libp2p-test\send\test351,665600,40361800,2023-08-05 16:40:35.855,2023-08-05 16:40:35.896,41358900
C:\Users\24201\Desktop\libp2p-test-fbc\libp2p-test\send\test352,677888,44082600,2023-08-05 16:40:35.897,2023-08-05 16:40:35.941,44082600
C:\Users\24201\Desktop\libp2p-test-fbc\libp2p-test\send\test353,690176,45427600,2023-08-05 16:40:35.941,2023-08-05 16:40:35.988,46424400
C:\Users\24201\Desktop\libp2p-test-fbc\libp2p-test\send\test354,699392,45758500,2023-08-05 16:40:35.988,2023-08-05 16:40:36.034,45758500
C:\Users\24201\Desktop\libp2p-test-fbc\libp2p-test\send\test355,710656,45361400,2023-08-05 16:40:36.034,2023-08-05 16:40:36.079,45361400
C:\Users\24201\Desktop\libp2p-test-fbc\libp2p-test\send\test356,711680,47734500,2023-08-05 16:40:36.079,2023-08-05 16:40:36.128,48731800
C:\Users\24201\Desktop\libp2p-test-fbc\libp2p-test\send\test357,716800,48147300,2023-08-05 16:40:36.129,2023-08-05 16:40:36.178,49145000
C:\Users\24201\Desktop\libp2p-test-fbc\libp2p-test\send\test358,723968,47397300,2023-08-05 16:40:36.178,2023-08-05 16:40:36.225,47397300
C:\Users\24201\Desktop\libp2p-test-fbc\libp2p-test\send\test359,727040,47561000,2023-08-05 16:40:36.225,2023-08-05 16:40:36.273,47561000
C:\Users\24201\Desktop\libp2p-test-fbc\libp2p-test\send\test360,747520,48514700,2023-08-05 16:40:36.274,2023-08-05 16:40:36.323,49021000
C:\Users\24201\Desktop\libp2p-test-fbc\libp2p-test\send\test361,748544,50367800,2023-08-05 16:40:36.323,2023-08-05 16:40:36.373,50367800
C:\Users\24201\Desktop\libp2p-test-fbc\libp2p-test\send\test362,753664,51463600,2023-08-05 16:40:36.373,2023-08-05 16:40:36.425,51463600
C:\Users\24201\Desktop\libp2p-test-fbc\libp2p-test\send\test363,763904,50554100,2023-08-05 16:40:36.425,2023-08-05 16:40:36.475,50554100
C:\Users\24201\Desktop\libp2p-test-fbc\libp2p-test\send\test364,777216,50501600,2023-08-05 16:40:36.475,2023-08-05 16:40:36.526,50501600
C:\Users\24201\Desktop\libp2p-test-fbc\libp2p-test\send\test365,782336,50730000,2023-08-05 16:40:36.526,2023-08-05 16:40:36.576,50730000
C:\Users\24201\Desktop\libp2p-test-fbc\libp2p-test\send\test366,784384,53944700,2023-08-05 16:40:36.576,2023-08-05 16:40:36.631,54459300
C:\Users\24201\Desktop\libp2p-test-fbc\libp2p-test\send\test367,785408,54785000,2023-08-05 16:40:36.631,2023-08-05 16:40:36.686,55296100
C:\Users\24201\Desktop\libp2p-test-fbc\libp2p-test\send\test368,787456,49383500,2023-08-05 16:40:36.687,2023-08-05 16:40:36.736,49383500
C:\Users\24201\Desktop\libp2p-test-fbc\libp2p-test\send\test369,807936,54590700,2023-08-05 16:40:36.736,2023-08-05 16:40:36.792,55587400
C:\Users\24201\Desktop\libp2p-test-fbc\libp2p-test\send\test370,812032,54105700,2023-08-05 16:40:36.792,2023-08-05 16:40:36.846,54105700
